city_name,population,country_alpha3_code,alpha2_country_code,latitude,longitude
Tirana,270000,ALB,AL,41.3281482,19.8184435
Andorra la Vella,21189,AND,AD,42.5069391,1.5212467
Wien,1608144,AUT,AT,48.2083537,16.3725042
Graz,240967,AUT,AT,47.0708678,15.4382786
Linz,188022,AUT,AT,48.3059078,14.286198
Salzburg,144247,AUT,AT,47.7981346,13.0464806
Innsbruck,111752,AUT,AT,47.2654296,11.3927685
Klagenfurt,91141,AUT,AT,46.623943,14.3075976
Antwerpen,446525,BEL,BE,51.2211097,4.3997081
Gent,224180,BEL,BE,51.0538286,3.7250121
Charleroi,200827,BEL,BE,50.4116233,4.444528
Liège,185639,BEL,BE,50.6450944,5.5736112
Bruxelles [Brussel],133859,BEL,BE,50.8465573,4.351697
Brugge,116246,BEL,BE,51.2085526,3.226772
Schaerbeek,105692,BEL,BE,50.8676041,4.3737121
Namur,105419,BEL,BE,50.4665284,4.8661892
Mons,90935,BEL,BE,50.4549568,3.951958
Sofija,1122302,BGR,BG,42.6977028,23.3217359
Plovdiv,342584,BGR,BG,42.1418541,24.7499297
Varna,299801,BGR,BG,43.2073873,27.9166653
Burgas,195255,BGR,BG,42.4936616,27.4721276
Ruse,166467,BGR,BG,43.8350657,25.95799152318159
Stara Zagora,147939,BGR,BG,42.4248111,25.6257479
Pleven,121952,BGR,BG,43.4809895,24.6060664603708
Sliven,105530,BGR,BG,42.64169,26.263428283625732
Dobric,100399,BGR,BG,43.66377745,27.90021225939759
Šumen,94686,BGR,BG,43.2703797,26.9247362
Sarajevo,360000,BIH,BA,43.8519774,18.3866868
Banja Luka,143079,BIH,BA,44.7720845,17.1917651
Zenica,96027,BIH,BA,44.199828,17.9093012
Minsk,1674000,BLR,BY,53.9024716,27.5618225
Gomel,475000,BLR,BY,52.4238936,31.0131698
Mogiljov,356000,BLR,BY,53.9090245,30.3429838
Vitebsk,340000,BLR,BY,55.1930197,30.2070437
Grodno,302000,BLR,BY,53.6834599,23.8342648
Brest,286000,BLR,BY,52.093751,23.6851851
Bobruisk,221000,BLR,BY,53.1378769,29.195439314870455
Baranovitši,167000,BLR,BY,53.13217855,25.97101338172825
Borisov,151000,BLR,BY,54.2240665,28.5117849
Pinsk,130000,BLR,BY,52.1113862,26.1025274
Orša,124000,BLR,BY,54.5119008,30.4254486
Mozyr,110000,BLR,BY,52.0475482,29.2667179
Novopolotsk,106000,BLR,BY,55.52780005,28.54626032674314
Lida,101000,BLR,BY,53.8949515,25.295719
Soligorsk,101000,BLR,BY,52.7893039,27.5318168
Molodetšno,97000,BLR,BY,54.3132808,26.8507092
Zürich,336800,CHE,CH,47.3744489,8.5410422
Geneve,173500,CHE,CH,46.2017559,6.1466014
Basel,166700,CHE,CH,47.5581077,7.5878261
Bern,122700,CHE,CH,46.9484742,7.4521749
Lausanne,114500,CHE,CH,46.5218269,6.6327025
Praha,1181126,CZE,CZ,50.0596288,14.446459273258007
Brno,381862,CZE,CZ,49.1922443,16.6113382
Ostrava,320041,CZE,CZ,49.8349139,18.2820084
Plzen,166759,CZE,CZ,49.7477415,13.3775249
Olomouc,102702,CZE,CZ,49.5940567,17.251143
Liberec,99155,CZE,CZ,50.7702648,15.0583947
Ceské Budejovice,98186,CZE,CZ,48.9747357,14.474285
Hradec Králové,98080,CZE,CZ,50.2092113,15.8327512
Ústí nad Labem,95491,CZE,CZ,50.6603327,14.0381357
Pardubice,91309,CZE,CZ,50.0385812,15.7791356
Berlin,3386667,DEU,DE,52.510885,13.3989367
Hamburg,1704735,DEU,DE,53.550341,10.000654
Munich [München],1194560,DEU,DE,48.1371079,11.5753822
Köln,962507,DEU,DE,50.938361,6.959974
Frankfurt am Main,643821,DEU,DE,50.1106444,8.6820917
Essen,599515,DEU,DE,51.4582235,7.0158171
Dortmund,590213,DEU,DE,51.5142273,7.4652789
Stuttgart,582443,DEU,DE,48.7784485,9.1800132
Düsseldorf,568855,DEU,DE,51.2254018,6.7763137
Bremen,540330,DEU,DE,53.0758196,8.8071646
Duisburg,519793,DEU,DE,51.434999,6.759562
Hannover,514718,DEU,DE,52.3744779,9.7385532
Leipzig,489532,DEU,DE,51.3406321,12.3747329
Nürnberg,486628,DEU,DE,49.453872,11.077298
Dresden,476668,DEU,DE,51.0493286,13.7381437
Bochum,392830,DEU,DE,51.4818111,7.2196635
Wuppertal,368993,DEU,DE,51.264018,7.1780374
Bielefeld,321125,DEU,DE,52.0191005,8.531007
Mannheim,307730,DEU,DE,49.4892913,8.4673098
Bonn,301048,DEU,DE,50.7352621,7.1024635
Gelsenkirchen,281979,DEU,DE,51.5110321,7.0960124
Karlsruhe,277204,DEU,DE,49.0068705,8.4034195
Wiesbaden,268716,DEU,DE,50.0820384,8.2416556
Münster,264670,DEU,DE,51.9625101,7.6251879
Mönchengladbach,263697,DEU,DE,51.1947131,6.4353792
Chemnitz,263222,DEU,DE,50.8323531,12.918914
Augsburg,254867,DEU,DE,48.3690341,10.8979522
Halle/Saale,254360,DEU,DE,51.4825041,11.9705452
Braunschweig,246322,DEU,DE,52.2646577,10.5236066
Aachen,243825,DEU,DE,50.776351,6.083862
Krefeld,241769,DEU,DE,51.3331205,6.5623343
Magdeburg,235073,DEU,DE,52.1315889,11.6399609
Kiel,233795,DEU,DE,54.3227085,10.135555
Oberhausen,222349,DEU,DE,51.4696137,6.8514435
Lübeck,213326,DEU,DE,53.866444,10.684738
Hagen,205201,DEU,DE,51.3582945,7.473296
Rostock,203279,DEU,DE,54.0886707,12.1400211
Freiburg im Breisgau,202455,DEU,DE,47.9960901,7.8494005
Erfurt,201267,DEU,DE,50.9777974,11.0287364
Kassel,196211,DEU,DE,51.3157833,9.4978479
Saarbrücken,183836,DEU,DE,49.234362,6.996379
Mainz,183134,DEU,DE,49.9995205,8.2736253
Hamm,181804,DEU,DE,51.681281,7.8191185
Herne,175661,DEU,DE,51.5380394,7.219985
Mülheim an der Ruhr,173895,DEU,DE,51.4272925,6.8829192
Solingen,165583,DEU,DE,51.1721629,7.0845893
Osnabrück,164539,DEU,DE,52.2719595,8.047635
Ludwigshafen am Rhein,163771,DEU,DE,49.4704113,8.4381568
Leverkusen,160841,DEU,DE,51.0324743,6.9881194
Oldenburg,154125,DEU,DE,53.1389753,8.2146017
Neuss,149702,DEU,DE,51.1981778,6.6916476
Heidelberg,139672,DEU,DE,49.4093582,8.694724
Darmstadt,137776,DEU,DE,49.8851869,8.6736295
Paderborn,137647,DEU,DE,51.7177044,8.752653
Potsdam,128983,DEU,DE,52.4009309,13.0591397
Würzburg,127350,DEU,DE,49.7780356,9.94347690712558
Regensburg,125236,DEU,DE,49.0195333,12.0974869
Recklinghausen,125022,DEU,DE,51.6143815,7.1978546
Göttingen,124775,DEU,DE,51.5328328,9.9351811
Bremerhaven,122735,DEU,DE,53.5505392,8.5851945
Wolfsburg,121954,DEU,DE,52.4205588,10.7861682
Bottrop,121097,DEU,DE,51.521581,6.929204
Remscheid,120125,DEU,DE,51.1798706,7.1943544
Heilbronn,119526,DEU,DE,49.142291,9.218655
Pforzheim,117227,DEU,DE,48.8908846,8.7029532
Offenbach am Main,116627,DEU,DE,50.1055002,8.7610698
Ulm,116103,DEU,DE,48.3984968,9.9912458
Ingolstadt,114826,DEU,DE,48.7630165,11.4250395
Gera,114718,DEU,DE,50.8765537,12.0832666
Salzgitter,112934,DEU,DE,52.1503721,10.3593147
Cottbus,110894,DEU,DE,51.7567447,14.3357307
Reutlingen,110343,DEU,DE,48.4919508,9.2114144
Fürth,109771,DEU,DE,49.48857105,10.95872031326412
Siegen,109225,DEU,DE,50.8751175,8.0256131
Koblenz,108003,DEU,DE,50.3533278,7.5943951
Moers,106837,DEU,DE,51.451283,6.62843
Bergisch Gladbach,106150,DEU,DE,50.9929303,7.1277379
Zwickau,104146,DEU,DE,50.7185043,12.4939267
Hildesheim,104013,DEU,DE,52.1527188,9.9518083
Witten,103384,DEU,DE,51.4370171,7.335124
Schwerin,102878,DEU,DE,53.6288297,11.4148038
Erlangen,100750,DEU,DE,49.589157099999994,10.98120719922546
Kaiserslautern,100025,DEU,DE,49.4432174,7.7689951
Trier,99891,DEU,DE,49.7596208,6.6441878
Jena,99779,DEU,DE,50.9281717,11.5879359
Iserlohn,99474,DEU,DE,51.3746778,7.6999713
Gütersloh,95028,DEU,DE,51.9063997,8.3782078
Marl,93735,DEU,DE,51.6485843,7.0829054
Lünen,92044,DEU,DE,51.6142482,7.5228088
Düren,91092,DEU,DE,50.8031684,6.4820806
Ratingen,90951,DEU,DE,51.2973261,6.8493503
Velbert,89881,DEU,DE,51.3406713,7.0439912
Esslingen am Neckar,89667,DEU,DE,48.7427584,9.3071685
København,495699,DNK,DK,55.6867243,12.5700724
Århus,284846,DNK,DK,56.1496278,10.2134046
Odense,183912,DNK,DK,55.3997225,10.3852104
Aalborg,161161,DNK,DK,57.0462626,9.9215263
Frederiksberg,90327,DNK,DK,55.678016,12.5326186
Madrid,2879052,ESP,ES,40.4167047,-3.7035825
Barcelona,1503451,ESP,ES,41.3828939,2.1774322
Valencia,739412,ESP,ES,39.4697065,-0.3763353
Sevilla,701927,ESP,ES,37.3886303,-5.9953403
Zaragoza,603367,ESP,ES,41.6521342,-0.8809428
Málaga,530553,ESP,ES,36.7213028,-4.4216366
Bilbao,357589,ESP,ES,43.2630018,-2.9350039
Las Palmas de Gran Canaria,354757,ESP,ES,28.1288694,-15.4349015
Murcia,353504,ESP,ES,37.9923795,-1.1305431
Palma de Mallorca,326993,ESP,ES,39.5695818,2.6500745
Valladolid,319998,ESP,ES,41.6521807,-4.728605
Córdoba,311708,ESP,ES,37.8845813,-4.7760138
Vigo,283670,ESP,ES,42.2376602,-8.7247205
Alicante [Alacant],272432,ESP,ES,38.3436365,-0.4881708
Gijón,267980,ESP,ES,43.5449422,-5.66275
L´Hospitalet de Llobregat,247986,ESP,ES,41.3598601,2.0997927
Granada,244767,ESP,ES,37.1734995,-3.5995337
A Coruña (La Coruña),243402,ESP,ES,43.3709703,-8.3959425
Vitoria-Gasteiz,217154,ESP,ES,42.8465088,-2.6724025
Santa Cruz de Tenerife,213050,ESP,ES,28.467178,-16.2507843
Badalona,209635,ESP,ES,41.4493539,2.248254
Oviedo,200453,ESP,ES,43.3618625,-5.8483581
Móstoles,195351,ESP,ES,40.3238525,-3.8649214
Elche [Elx],193174,ESP,ES,38.2682326,-0.696458
Sabadell,184859,ESP,ES,41.5421013,2.1138977
Santander,184165,ESP,ES,43.4618932,-3.8100255
Jerez de la Frontera,182660,ESP,ES,36.6816936,-6.1377402
Pamplona [Iruña],180483,ESP,ES,42.81568595,-1.6522353378580308
Donostia-San Sebastián,179208,ESP,ES,43.3224219,-1.9838889
Cartagena,177709,ESP,ES,37.6152488,-0.9876857
Leganés,173163,ESP,ES,40.3281942,-3.76527
Fuenlabrada,171173,ESP,ES,40.282476,-3.7923422
Almería,169027,ESP,ES,36.8414197,-2.4628135
Terrassa,168695,ESP,ES,41.5629623,2.0100492
Alcalá de Henares,164463,ESP,ES,40.481954,-3.363981
Burgos,162802,ESP,ES,42.343926,-3.696977
Salamanca,158720,ESP,ES,40.9651572,-5.6640182
Albacete,147527,ESP,ES,38.9950921,-1.8559154
Getafe,145371,ESP,ES,40.3070639,-3.7331808
Cádiz,142449,ESP,ES,36.5297438,-6.2928976
Alcorcón,142048,ESP,ES,40.3492998,-3.8284295
Huelva,140583,ESP,ES,37.2575874,-6.9484945
León,139809,ESP,ES,42.5989995,-5.5682413
Castellón de la Plana [Castell,139712,ESP,ES,40.03489685,-0.0053932034337808
Badajoz,136613,ESP,ES,38.878187,-6.9701115
[San Cristóbal de] la Laguna,127945,ESP,ES,28.4857715,-16.3159422
Logroño,127093,ESP,ES,42.4661196,-2.4396676
Santa Coloma de Gramenet,120802,ESP,ES,41.4515626,2.2083371
Tarragona,113016,ESP,ES,41.1172364,1.2546057
Lleida (Lérida),112207,ESP,ES,41.6147605,0.6267842
Jaén,109247,ESP,ES,37.9557275,-3.492055612037218
Ourense (Orense),109120,ESP,ES,42.3436415,-7.8674242
Mataró,104095,ESP,ES,41.5398348,2.4448926
Algeciras,103106,ESP,ES,36.1311725,-5.4473991
Marbella,101144,ESP,ES,36.508976,-4.88562
Barakaldo,98212,ESP,ES,43.29548,-2.9900933
Dos Hermanas,94591,ESP,ES,37.283689,-5.9226718
Santiago de Compostela,93745,ESP,ES,42.8804219,-8.5458608
Torrejón de Ardoz,92262,ESP,ES,40.4587767,-3.4793343
Tallinn,403981,EST,EE,59.4372155,24.7453688
Tartu,101246,EST,EE,58.3801207,26.72245
Helsinki [Helsingfors],555474,FIN,FI,60.1717794,24.9413548
Espoo,213271,FIN,FI,60.2047672,24.6568435
Tampere,195468,FIN,FI,61.4980214,23.7603118
Vantaa,178471,FIN,FI,60.2933337,25.0407809
Turku [Åbo],172561,FIN,FI,60.4760144,22.2027408
Oulu,120753,FIN,FI,65.0118734,25.4716809
Lahti,96921,FIN,FI,60.9826014,25.6613764
Paris,2125246,FRA,FR,48.8588897,2.3200410217200766
Marseille,798430,FRA,FR,43.2961743,5.3699525
Lyon,445452,FRA,FR,45.7578137,4.8320114
Toulouse,390350,FRA,FR,43.6044622,1.4442469
Nice,342738,FRA,FR,43.7009358,7.2683912
Nantes,270251,FRA,FR,47.2186371,-1.5541362
Strasbourg,264115,FRA,FR,48.584614,7.7507127
Montpellier,225392,FRA,FR,43.6112422,3.8767337
Bordeaux,215363,FRA,FR,44.841225,-0.5800364
Rennes,206229,FRA,FR,48.1113387,-1.6800198
Le Havre,190905,FRA,FR,49.4938975,0.1079732
Reims,187206,FRA,FR,49.2577886,4.031926
Lille,184657,FRA,FR,50.6365654,3.0635282
St-Étienne,180210,FRA,FR,45.4401467,4.3873058
Toulon,160639,FRA,FR,43.1257311,5.9304919
Grenoble,153317,FRA,FR,45.1875602,5.7357819
Angers,151279,FRA,FR,47.4739884,-0.5515588
Dijon,149867,FRA,FR,47.3215806,5.0414701
Brest,149634,FRA,FR,48.3905283,-4.4860088
Le Mans,146105,FRA,FR,48.0073849,0.1967849
Clermont-Ferrand,137140,FRA,FR,45.7774551,3.0819427
Amiens,135501,FRA,FR,49.8941708,2.2956951
Aix-en-Provence,134222,FRA,FR,43.5298424,5.4474738
Limoges,133968,FRA,FR,45.8354243,1.2644847
Nîmes,133424,FRA,FR,43.8374249,4.3600687
Tours,132820,FRA,FR,47.3900474,0.6889268
Villeurbanne,124215,FRA,FR,45.7733573,4.8868454
Metz,123776,FRA,FR,49.1196964,6.1763552
Besançon,117733,FRA,FR,47.2380222,6.0243622
Caen,113987,FRA,FR,49.1813403,-0.3635615
Orléans,113126,FRA,FR,47.9027336,1.9086066
Mulhouse,110359,FRA,FR,47.7467233,7.3389937
Rouen,106592,FRA,FR,49.4404591,1.0939658
Boulogne-Billancourt,106367,FRA,FR,48.8356649,2.240206
Perpignan,105115,FRA,FR,42.6985304,2.8953121
Nancy,103605,FRA,FR,48.6937223,6.1834097
Roubaix,96984,FRA,FR,50.6915893,3.1741734
Argenteuil,93961,FRA,FR,48.9479069,2.2481797
Tourcoing,93540,FRA,FR,50.7235038,3.1605714
Montreuil,90674,FRA,FR,50.4638918,1.7631125
Tórshavn,14542,FRO,FO,62.012,-6.768
London,7285000,GBR,GB,51.4893335,-0.1440550845276872
Birmingham,1013000,GBR,GB,52.4796992,-1.9026911
Glasgow,619680,GBR,GB,55.861155,-4.2501687
Liverpool,461000,GBR,GB,53.4071991,-2.99168
Edinburgh,450180,GBR,GB,55.9533456,-3.1883749
Sheffield,431607,GBR,GB,53.3806626,-1.4702278
Manchester,430000,GBR,GB,53.4794892,-2.2451148
Leeds,424194,GBR,GB,53.7974185,-1.5437941
Bristol,402000,GBR,GB,51.4538022,-2.5972985
